epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2483,1.53278,2.89494,1.51136,0.60807,0.42276,0.38427,0.21936,1.5316,1.83293,1.6274,0.00331588,0.00331588,0.00331588
2,82.2191,1.47751,1.7801,1.44411,0.59644,0.48214,0.45121,0.2594,1.55194,1.82895,1.66659,0.00663605,0.00663605,0.00663605
3,106.56,1.47111,1.64957,1.42105,0.65958,0.61224,0.60157,0.34483,1.5519,1.5944,1.66192,0.00994302,0.00994302,0.00994302
4,130.668,1.50533,1.60117,1.442,0.63176,0.48915,0.49277,0.28316,1.56757,1.72582,1.64643,0.0099406,0.0099406,0.0099406
5,154.469,1.47738,1.53228,1.43705,0.68241,0.55298,0.55677,0.32104,1.57192,1.63673,1.64483,0.0099208,0.0099208,0.0099208
6,178.27,1.45912,1.44013,1.41347,0.72631,0.55391,0.61567,0.36917,1.45646,1.3759,1.57164,0.009901,0.009901,0.009901
7,202.22,1.42781,1.36635,1.40711,0.74057,0.60003,0.62557,0.3761,1.48352,1.46347,1.62366,0.0098812,0.0098812,0.0098812
8,226.138,1.42778,1.30315,1.39653,0.69065,0.54414,0.56783,0.35534,1.53143,1.40691,1.6103,0.0098614,0.0098614,0.0098614
9,249.671,1.43696,1.29436,1.39908,0.76507,0.60125,0.65689,0.42217,1.47004,1.28935,1.59355,0.0098416,0.0098416,0.0098416
10,273.366,1.41526,1.25499,1.39953,0.74168,0.6476,0.6804,0.42645,1.48072,1.18716,1.57493,0.0098218,0.0098218,0.0098218
11,297.01,1.38649,1.19305,1.3623,0.74635,0.65682,0.67054,0.42493,1.47128,1.14941,1.54367,0.009802,0.009802,0.009802
12,320.741,1.38977,1.15498,1.35987,0.82578,0.6521,0.71228,0.45034,1.4616,1.10565,1.52952,0.0097822,0.0097822,0.0097822
13,344.416,1.38404,1.15037,1.35405,0.76206,0.57035,0.64918,0.39285,1.48491,1.22385,1.57583,0.0097624,0.0097624,0.0097624
14,368.181,1.36432,1.12945,1.35006,0.80009,0.66418,0.71356,0.46961,1.45028,1.08419,1.5492,0.0097426,0.0097426,0.0097426
15,391.806,1.37064,1.07875,1.33932,0.78345,0.66049,0.6953,0.45606,1.48227,1.01886,1.5545,0.0097228,0.0097228,0.0097228
16,415.413,1.34529,1.05389,1.3329,0.79107,0.6572,0.68201,0.43097,1.50934,1.09176,1.59089,0.009703,0.009703,0.009703
17,439.259,1.33809,1.06021,1.33535,0.82609,0.66349,0.71366,0.45801,1.47317,1.01953,1.56158,0.0096832,0.0096832,0.0096832
18,463.196,1.3551,1.03714,1.33409,0.77758,0.68517,0.70642,0.45394,1.46709,1.01177,1.55151,0.0096634,0.0096634,0.0096634
19,486.921,1.33697,1.02081,1.33619,0.81881,0.65716,0.7206,0.46374,1.47425,0.98527,1.55303,0.0096436,0.0096436,0.0096436
20,510.464,1.32456,0.99413,1.31873,0.85365,0.65833,0.71242,0.47597,1.4629,0.98486,1.54585,0.0096238,0.0096238,0.0096238
21,534.283,1.3428,1.00152,1.32591,0.79851,0.68399,0.72226,0.48199,1.50585,1.02562,1.58376,0.009604,0.009604,0.009604
22,557.912,1.33274,0.99175,1.32347,0.79479,0.66365,0.6972,0.45532,1.47347,1.00577,1.55819,0.0095842,0.0095842,0.0095842
23,581.59,1.31823,0.97515,1.31968,0.82924,0.65927,0.70098,0.45986,1.50926,1.00929,1.59489,0.0095644,0.0095644,0.0095644
24,605.135,1.30425,0.94684,1.30749,0.84278,0.69979,0.74315,0.50163,1.50482,0.92274,1.57922,0.0095446,0.0095446,0.0095446
25,628.885,1.31102,0.93489,1.29573,0.83382,0.66952,0.743,0.47647,1.48359,0.92045,1.59042,0.0095248,0.0095248,0.0095248
26,652.564,1.30311,0.92355,1.31044,0.83388,0.67896,0.73991,0.49356,1.50916,0.92682,1.60375,0.009505,0.009505,0.009505
27,676.119,1.30215,0.90416,1.28634,0.83245,0.69804,0.77689,0.50737,1.50747,0.93802,1.57783,0.0094852,0.0094852,0.0094852
28,699.679,1.27267,0.90608,1.29389,0.82827,0.64242,0.71688,0.4796,1.50486,0.97141,1.59658,0.0094654,0.0094654,0.0094654
29,723.341,1.29145,0.88661,1.28603,0.80127,0.69544,0.73224,0.47793,1.54585,0.92525,1.61796,0.0094456,0.0094456,0.0094456
30,746.899,1.2774,0.89564,1.28694,0.74283,0.66528,0.70925,0.45806,1.55307,0.99828,1.63985,0.0094258,0.0094258,0.0094258
31,770.432,1.28185,0.884,1.29172,0.66488,0.63528,0.69995,0.46566,1.57103,0.97243,1.66264,0.009406,0.009406,0.009406
32,794.091,1.25605,0.85898,1.27622,0.84763,0.66799,0.74552,0.48353,1.54072,0.93834,1.64042,0.0093862,0.0093862,0.0093862
33,817.775,1.27398,0.86391,1.28058,0.81439,0.72578,0.75837,0.48949,1.51506,0.91037,1.60651,0.0093664,0.0093664,0.0093664
34,841.399,1.24309,0.83744,1.26936,0.79905,0.67612,0.71764,0.47736,1.54091,0.95765,1.62427,0.0093466,0.0093466,0.0093466
35,864.993,1.23937,0.84325,1.27112,0.83151,0.72173,0.77448,0.50323,1.55487,0.91486,1.63515,0.0093268,0.0093268,0.0093268
36,888.592,1.24224,0.82829,1.26729,0.67084,0.71486,0.74154,0.49679,1.53319,0.89966,1.61154,0.009307,0.009307,0.009307
37,912.287,1.25631,0.83008,1.26026,0.8087,0.77018,0.79569,0.52045,1.47766,0.86185,1.55326,0.0092872,0.0092872,0.0092872
38,935.842,1.24435,0.80171,1.25619,0.79316,0.68899,0.78171,0.50854,1.53721,0.90247,1.62804,0.0092674,0.0092674,0.0092674
39,959.318,1.22699,0.80299,1.25207,0.77925,0.73302,0.77304,0.50742,1.57293,0.94098,1.65778,0.0092476,0.0092476,0.0092476
40,983.165,1.23969,0.81006,1.25696,0.83471,0.65429,0.72824,0.47815,1.53779,0.91451,1.6149,0.0092278,0.0092278,0.0092278
41,1006.48,1.23815,0.80605,1.25073,0.77215,0.74489,0.79061,0.51759,1.51688,0.86556,1.55548,0.009208,0.009208,0.009208
42,1029.7,1.22794,0.80056,1.2576,0.73385,0.72134,0.7633,0.51543,1.53846,0.89788,1.62038,0.0091882,0.0091882,0.0091882
43,1052.85,1.22983,0.79189,1.2426,0.79431,0.72411,0.77991,0.50659,1.55598,0.92967,1.68048,0.0091684,0.0091684,0.0091684
44,1076.15,1.23133,0.77737,1.24483,0.6382,0.66317,0.70448,0.46047,1.54277,0.93953,1.60809,0.0091486,0.0091486,0.0091486
45,1099.15,1.21352,0.76207,1.24094,0.84984,0.73301,0.79469,0.51954,1.53238,0.88768,1.62902,0.0091288,0.0091288,0.0091288
46,1122.15,1.22706,0.78226,1.25143,0.74454,0.7276,0.74965,0.49547,1.55697,0.8978,1.66099,0.009109,0.009109,0.009109
47,1145.35,1.20033,0.76231,1.24227,0.81698,0.70919,0.76938,0.51627,1.53687,0.88334,1.63723,0.0090892,0.0090892,0.0090892
48,1168.36,1.21134,0.76587,1.24424,0.76838,0.70435,0.75333,0.4948,1.57205,0.89769,1.67799,0.0090694,0.0090694,0.0090694
49,1191.85,1.19694,0.7583,1.23405,0.83506,0.71,0.78103,0.51913,1.5309,0.86545,1.63056,0.0090496,0.0090496,0.0090496
50,1215.35,1.1907,0.75694,1.22978,0.73432,0.80934,0.80488,0.53027,1.53438,0.85485,1.6415,0.0090298,0.0090298,0.0090298
51,1238.99,1.18577,0.73368,1.22394,0.77328,0.76305,0.78914,0.52399,1.52497,0.84988,1.62883,0.00901,0.00901,0.00901
52,1262.69,1.19315,0.74056,1.22908,0.78365,0.71564,0.7526,0.49321,1.54315,0.89712,1.65508,0.0089902,0.0089902,0.0089902
53,1286.25,1.18403,0.72836,1.23054,0.81835,0.73514,0.81255,0.52529,1.52156,0.85552,1.60574,0.0089704,0.0089704,0.0089704
54,1309.85,1.1936,0.73159,1.22065,0.83327,0.70171,0.79686,0.5171,1.5234,0.87515,1.62089,0.0089506,0.0089506,0.0089506
55,1333.45,1.17075,0.71686,1.21044,0.75545,0.71034,0.74375,0.50254,1.53525,0.90393,1.63599,0.0089308,0.0089308,0.0089308
56,1357.03,1.18569,0.72884,1.2262,0.81982,0.74362,0.78009,0.51677,1.53879,0.84628,1.6444,0.008911,0.008911,0.008911
57,1380.64,1.17929,0.73595,1.22674,0.80652,0.68582,0.75311,0.49052,1.55771,0.90771,1.66515,0.0088912,0.0088912,0.0088912
58,1404.3,1.16729,0.70314,1.20844,0.83178,0.71854,0.7684,0.51821,1.54371,0.85085,1.63041,0.0088714,0.0088714,0.0088714
59,1427.94,1.16228,0.71126,1.21293,0.77916,0.69173,0.77967,0.51973,1.54682,0.84438,1.64754,0.0088516,0.0088516,0.0088516
60,1451.43,1.15743,0.70072,1.20421,0.8721,0.66302,0.75429,0.50257,1.5558,0.87669,1.63882,0.0088318,0.0088318,0.0088318
61,1474.99,1.17148,0.69916,1.21166,0.85611,0.73896,0.8033,0.53892,1.53207,0.83077,1.63527,0.008812,0.008812,0.008812
62,1498.66,1.1695,0.69652,1.20226,0.77428,0.69856,0.7757,0.52675,1.54632,0.85279,1.65612,0.0087922,0.0087922,0.0087922
63,1522.24,1.13876,0.68411,1.20333,0.72074,0.63746,0.73248,0.48887,1.53408,0.92281,1.64967,0.0087724,0.0087724,0.0087724
64,1545.96,1.15034,0.70293,1.21438,0.78656,0.72803,0.78771,0.52339,1.53069,0.83444,1.62087,0.0087526,0.0087526,0.0087526
65,1569.51,1.14194,0.68526,1.19938,0.78987,0.73955,0.75255,0.50883,1.58632,0.91685,1.71026,0.0087328,0.0087328,0.0087328
66,1593.13,1.14189,0.6861,1.20253,0.83966,0.72177,0.78306,0.51034,1.54892,0.84959,1.65387,0.008713,0.008713,0.008713
